Sample,Group,Positive Area Percentage,Mean Intensity,Negative Area Percentage,Total Area Analyzed (mm^2)
PSR_1-1L,1,5.00,81.77,95.00,5.92
PSR_1-2L,1,5.39,77.67,94.61,5.09
PSR_2-4-L,2,5.57,84.15,94.43,2.41
PSR_2-4-R,2,4.06,60.11,95.94,4.20
PSR_2-5-L,2,4.43,80.23,95.57,4.84
PSR_2-5-R,2,3.13,51.13,96.87,3.55
PSR_2-6-L,2,14.99,67.04,85.01,3.04
PSR_2-6-R,2,5.06,74.42,94.94,3.54
PSR_2-7-L,2,7.31,87.59,92.69,1.80
PSR_2-7-R,2,6.23,95.34,93.77,6.40
PSR_3-12-L,3,13.20,75.52,86.80,6.07
PSR_3-12-R,3,3.98,75.25,96.02,1.50
PSR_3-13-L,3,8.10,84.33,91.90,3.02
PSR_3-13-R,3,4.83,75.29,95.17,4.63
PSR_4-16-L,4,10.12,73.18,89.88,3.92
PSR_4-17-L,4,5.54,77.07,94.46,4.69
PSR_4-18-L,4,4.25,72.30,95.75,4.65
PSR_4-19-L,4,8.93,83.53,91.07,4.35
PSR_7-30-L,7,7.24,49.80,92.76,1.91
PSR_7-30-R,7,3.41,50.57,96.59,6.84
PSR_7-31-L,7,6.12,58.73,93.88,2.67
PSR_7-31-R,7,4.67,56.22,95.33,5.67
PSR_7-32-L,7,4.92,86.60,95.08,4.08
PSR_7-32-R,7,4.88,58.58,95.12,3.68
PSR_11-50-L,11,9.12,78.68,90.88,3.15
PSR_11-50-R,11,3.19,51.79,96.81,3.34
PSR_11-51-L,11,13.72,67.13,86.28,3.47
PSR_11-51-R,11,4.35,73.24,95.65,4.29
PSR_11-52-L,11,6.15,83.14,93.85,3.21
PSR_11-52-R,11,8.01,83.09,91.99,2.99
PSR_11-53-L,11,9.09,74.25,90.91,2.00
PSR_11-53-R,11,6.30,49.20,93.70,2.60
PSR_12-57-L,12,12.31,67.23,87.69,1.68
PSR_12-57-R,12,4.47,68.29,95.53,3.15
PSR_12-58-L,12,10.34,82.14,89.66,2.79
PSR_12-58-R,12,2.61,49.44,97.39,3.29
